# MineGuard-AI Synthetic Surface Subsidence Dataset (SIH26025 Demonstration Dataset)
# DISCLAIMER: Synthetic dataset validation — not field prediction accuracy.
node_id,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,vibration_rms,displacement_mm,crack_detected,neighbour_anomaly_count,risk_label
N01,0.62,-0.01,0.62,0.107,0.9,0,0,0
N02,-0.53,0.01,0.53,0.144,0.6,0,0,0
N01,7.76,4.71,9.08,1.035,24.3,1,3,2
N04,-0.02,-0.17,0.17,0.03,0.6,0,0,0
N01,-0.22,0.44,0.49,0.142,2.0,0,1,0
N01,0.26,0.71,0.76,0.05,2.4,0,1,0
N02,6.47,7.72,10.07,0.965,16.7,1,3,2
N01,-0.07,0.59,0.59,0.068,0.2,0,0,0
N02,7.49,5.09,9.06,1.495,11.8,1,3,2
N04,-0.32,0.61,0.69,0.021,2.2,0,1,0
N04,2.88,1.71,3.35,0.558,4.5,0,1,1
N01,5.98,5.94,8.43,1.758,15.9,0,2,2
N02,0.39,0.07,0.4,0.035,0.3,0,0,0
N02,-0.29,-0.05,0.29,0.142,1.2,0,0,0
N04,3.21,1.81,3.69,0.31,6.6,0,1,1
N03,2.04,2.66,3.35,0.404,7.2,1,1,1
N02,3.53,1.85,3.99,0.273,4.2,1,1,1
N03,-0.39,0.44,0.59,0.062,0.9,0,1,0
N01,2.0,3.06,3.66,0.593,7.8,0,2,1
N04,5.63,6.01,8.24,0.839,19.8,0,2,2
N01,2.75,1.29,3.04,0.558,3.6,1,1,1
N04,-0.16,-0.73,0.75,0.089,1.5,0,1,0
N04,8.33,7.33,11.1,0.828,19.7,1,2,2
N04,3.0,2.22,3.73,0.244,4.8,0,1,1
N02,4.94,4.38,6.6,0.862,31.3,1,2,2
N03,0.06,0.69,0.69,0.096,2.3,0,1,0
N04,1.76,1.63,2.4,0.306,3.8,1,1,1
N03,2.06,2.85,3.52,0.415,6.4,0,1,1
N04,0.52,0.21,0.56,0.144,0.3,0,0,0
N03,1.69,2.86,3.32,0.296,3.7,0,2,1
N02,0.69,0.41,0.8,0.14,2.5,0,0,0
N04,-0.58,0.14,0.6,0.148,2.1,0,0,0
N01,8.53,5.6,10.2,2.098,19.6,0,2,2
N04,1.5,2.48,2.9,0.533,8.3,0,2,1
N01,7.26,7.76,10.63,1.679,15.3,1,2,2
N01,3.04,2.72,4.08,0.434,8.7,1,1,1
N01,4.54,6.62,8.03,1.427,32.4,1,2,2
N02,-0.06,-0.35,0.36,0.101,1.5,0,1,0
N03,-0.31,-0.12,0.33,0.057,0.6,0,0,0
N03,1.54,2.21,2.69,0.592,8.0,0,1,1
N03,-0.48,0.21,0.52,0.148,1.9,0,0,0
N04,0.49,-0.08,0.5,0.1,0.1,0,1,0
N02,0.48,0.57,0.75,0.105,1.6,0,0,0
N04,-0.25,-0.09,0.27,0.143,0.8,0,0,0
N02,3.18,2.1,3.81,0.402,7.5,1,1,1
N04,0.6,-0.41,0.73,0.132,2.4,0,0,0
N02,0.41,-0.54,0.68,0.105,1.0,0,0,0
N01,-0.6,-0.29,0.67,0.138,0.2,0,1,0
N03,2.18,1.38,2.58,0.574,3.9,1,1,1
N02,0.3,0.16,0.34,0.084,2.5,0,1,0
N02,0.21,-0.37,0.43,0.108,1.6,0,1,0
N02,-0.57,0.13,0.58,0.146,1.9,0,1,0
N02,-0.56,0.66,0.87,0.03,0.0,0,0,0
N01,-0.15,-0.06,0.16,0.147,0.8,0,0,0
N01,7.85,4.31,8.96,1.911,19.1,0,2,2
N04,0.07,-0.72,0.72,0.132,2.3,0,0,0
N03,8.19,5.3,9.76,1.557,12.3,0,3,2
N03,-0.34,0.54,0.64,0.037,0.3,0,0,0
N02,6.98,6.7,9.68,1.783,32.3,1,2,2
N02,3.57,2.67,4.46,0.422,7.2,1,2,1
N02,0.3,0.77,0.83,0.114,0.9,0,0,0
N03,3.32,1.94,3.85,0.264,5.2,0,2,1
N01,0.41,-0.02,0.41,0.07,1.0,0,0,0
N03,0.42,0.76,0.87,0.117,0.7,0,0,0
N04,-0.78,0.54,0.95,0.09,2.4,0,1,0
N01,6.72,6.32,9.23,1.87,27.9,1,3,2
N04,0.39,-0.66,0.77,0.043,1.8,0,1,0
